Run,Dataset,Classifier,Classifier_accuracy,Classifier_time,DESFH_accuracy,DESFH_time,EnsemblePruneFH_accuracy,EnsemblePruneFH_time,Number_of_hyperboxes,Ensemble_members_removed,n_estimators,overlap_threshold,threshold_remove
6,pima,AdaBoostClassifier,0.79167,0.01503,0.70312,0.42562,0.52083,0.07832,144,1,10,0.05,0.1
7,pima,BaggingClassifier,0.77604,0.02041,0.77604,0.19533,0.77604,0.08445,162,0,10,0.05,0.1
7,pima,RandomForestClassifier,0.72396,0.01634,0.72396,0.21626,0.72396,0.10698,155,0,10,0.05,0.1
7,pima,AdaBoostClassifier,0.75521,0.01694,0.73958,0.38195,0.73958,0.07995,166,0,10,0.05,0.1
8,pima,BaggingClassifier,0.83333,0.01941,0.83333,0.21886,0.83333,0.08742,141,0,10,0.05,0.1
8,pima,RandomForestClassifier,0.76042,0.01549,0.76042,0.27993,0.76042,0.09583,157,0,10,0.05,0.1
8,pima,AdaBoostClassifier,0.76042,0.01457,0.74479,0.40512,0.74479,0.05906,165,0,10,0.05,0.1
9,pima,BaggingClassifier,0.75,0.02241,0.75,0.20399,0.76042,0.05095,92,2,10,0.05,0.1
9,pima,RandomForestClassifier,0.72396,0.01254,0.72396,0.18039,0.72396,0.04398,92,1,10,0.05,0.1
9,pima,AdaBoostClassifier,0.6875,0.01602,0.6875,0.33294,0.6875,0.04666,90,0,10,0.05,0.1
10,pima,BaggingClassifier,0.72396,0.02208,0.72396,0.18617,0.70312,0.05373,99,1,10,0.05,0.1
10,pima,RandomForestClassifier,0.70833,0.01553,0.70833,0.19143,0.70833,0.052,102,0,10,0.05,0.1
10,pima,AdaBoostClassifier,0.69271,0.01733,0.71875,0.40458,0.69271,0.06009,114,1,10,0.05,0.1
1,pima,BaggingClassifier,0.68229,0.02161,0.68229,0.20185,0.68229,0.06874,137,0,10,0.1,0.01
1,pima,RandomForestClassifier,0.75521,0.01935,0.75521,0.23929,0.75521,0.08366,147,0,10,0.1,0.01
1,pima,AdaBoostClassifier,0.75521,0.01369,0.75,0.39949,0.75,0.05487,151,0,10,0.1,0.01
2,pima,BaggingClassifier,0.69792,0.01977,0.69792,0.2157,0.69792,0.06259,117,0,10,0.1,0.01
2,pima,RandomForestClassifier,0.70833,0.01514,0.70833,0.25132,0.71354,0.05302,107,1,10,0.1,0.01
2,pima,AdaBoostClassifier,0.68229,0.01473,0.67708,0.41723,0.64583,0.0526,135,1,10,0.1,0.01
3,pima,BaggingClassifier,0.73438,0.01626,0.73438,0.18211,0.73438,0.0502,110,0,10,0.1,0.01
3,pima,RandomForestClassifier,0.73958,0.01455,0.73958,0.2317,0.73958,0.06839,124,0,10,0.1,0.01
3,pima,AdaBoostClassifier,0.76562,0.01576,0.77083,0.37901,0.77083,0.06632,136,0,10,0.1,0.01
4,pima,BaggingClassifier,0.73438,0.02037,0.73438,0.1937,0.73958,0.05405,110,1,10,0.1,0.01
4,pima,RandomForestClassifier,0.74479,0.0142,0.74479,0.20099,0.74479,0.04688,109,0,10,0.1,0.01
4,pima,AdaBoostClassifier,0.74479,0.01344,0.70833,0.43633,0.70833,0.05759,118,0,10,0.1,0.01
5,pima,BaggingClassifier,0.73438,0.01926,0.73438,0.17921,0.73438,0.06765,141,0,10,0.1,0.01
5,pima,RandomForestClassifier,0.72917,0.0147,0.72917,0.20299,0.72917,0.08552,155,0,10,0.1,0.01
5,pima,AdaBoostClassifier,0.72396,0.01374,0.74479,0.34281,0.74479,0.0894,149,0,10,0.1,0.01
6,pima,BaggingClassifier,0.79167,0.02137,0.79167,0.19373,0.79167,0.06974,121,0,10,0.1,0.01
6,pima,RandomForestClassifier,0.76562,0.01551,0.76562,0.22572,0.76562,0.0784,135,0,10,0.1,0.01
6,pima,AdaBoostClassifier,0.79167,0.01431,0.70312,0.41868,0.70312,0.07308,144,0,10,0.1,0.01
7,pima,BaggingClassifier,0.77604,0.02137,0.77604,0.18318,0.77604,0.08679,162,0,10,0.1,0.01
7,pima,RandomForestClassifier,0.72396,0.01509,0.72396,0.20105,0.72396,0.08763,155,0,10,0.1,0.01
7,pima,AdaBoostClassifier,0.75521,0.01565,0.73958,0.36573,0.73958,0.08491,166,0,10,0.1,0.01
8,pima,BaggingClassifier,0.83333,0.02034,0.83333,0.21766,0.83333,0.0866,141,0,10,0.1,0.01
8,pima,RandomForestClassifier,0.76042,0.01453,0.76042,0.2383,0.76042,0.09962,157,0,10,0.1,0.01
8,pima,AdaBoostClassifier,0.76042,0.015,0.74479,0.3987,0.74479,0.06063,165,0,10,0.1,0.01
9,pima,BaggingClassifier,0.75,0.02288,0.75,0.19975,0.75,0.03945,92,0,10,0.1,0.01
9,pima,RandomForestClassifier,0.72396,0.01471,0.72396,0.17679,0.72396,0.04573,92,1,10,0.1,0.01
9,pima,AdaBoostClassifier,0.6875,0.01307,0.6875,0.3154,0.6875,0.04869,90,0,10,0.1,0.01
10,pima,BaggingClassifier,0.72396,0.01984,0.72396,0.17749,0.72396,0.04619,99,0,10,0.1,0.01
10,pima,RandomForestClassifier,0.70833,0.01405,0.70833,0.19702,0.70833,0.05281,102,0,10,0.1,0.01
10,pima,AdaBoostClassifier,0.69271,0.01373,0.71875,0.37839,0.69271,0.06947,114,1,10,0.1,0.01
1,pima,BaggingClassifier,0.68229,0.01896,0.68229,0.28298,0.68229,0.07464,137,0,10,0.1,0.05
1,pima,RandomForestClassifier,0.75521,0.01453,0.75521,0.24692,0.75521,0.08925,147,0,10,0.1,0.05
1,pima,AdaBoostClassifier,0.75521,0.01395,0.75,0.43233,0.75,0.0775,151,0,10,0.1,0.05
2,pima,BaggingClassifier,0.69792,0.01996,0.69792,0.28498,0.69792,0.06152,117,0,10,0.1,0.05
2,pima,RandomForestClassifier,0.70833,0.01503,0.70833,0.24239,0.71354,0.06118,107,1,10,0.1,0.05
2,pima,AdaBoostClassifier,0.68229,0.01474,0.67708,0.41987,0.64583,0.07314,135,1,10,0.1,0.05
3,pima,BaggingClassifier,0.73438,0.01896,0.73438,0.29903,0.73438,0.062,110,0,10,0.1,0.05
3,pima,RandomForestClassifier,0.73958,0.01353,0.73958,0.23337,0.73958,0.06921,124,0,10,0.1,0.05
3,pima,AdaBoostClassifier,0.76562,0.01352,0.77083,0.41236,0.77083,0.07516,136,0,10,0.1,0.05
4,pima,BaggingClassifier,0.73438,0.02058,0.73438,0.27998,0.73958,0.06302,110,1,10,0.1,0.05
4,pima,RandomForestClassifier,0.74479,0.01503,0.74479,0.20799,0.74479,0.05699,109,0,10,0.1,0.05
4,pima,AdaBoostClassifier,0.74479,0.01252,0.70833,0.43849,0.70833,0.05985,118,0,10,0.1,0.05
5,pima,BaggingClassifier,0.73438,0.01954,0.73438,0.23457,0.73438,0.07909,141,0,10,0.1,0.05
5,pima,RandomForestClassifier,0.72917,0.01385,0.72917,0.20538,0.72917,0.08966,155,0,10,0.1,0.05
5,pima,AdaBoostClassifier,0.72396,0.01248,0.74479,0.35686,0.74479,0.09891,149,0,10,0.1,0.05
6,pima,BaggingClassifier,0.79167,0.02045,0.79167,0.2875,0.79167,0.07053,121,0,10,0.1,0.05
6,pima,RandomForestClassifier,0.76562,0.0153,0.76562,0.22551,0.76562,0.07826,135,0,10,0.1,0.05
